brand,name,seller,reviews_rating_number,reviews_amount,old_money,new_money
,Celular Smartphone Xiaomi Redmi 14c Dual Sim 256gb 8gb Ram,,4.8,(130),1.600,1.136
,Zte A3 Smartphone 32gb Dual Sim Prático Para Idoso,,3.5,(94),499,459
MOTOROLA,Smartphone Motorola Moto g04s - 128GB 8GB (4GB RAM+4GB Ram Boost) AI Camera 16MP sensor FPS lateral - Grafite,Por Motorola ,4.7,(42600),899,628
MOTOROLA,"Smartphone Motorola Moto g05 - 128GB 12GB (4GB RAM + 8GB Ram Boost) e Camera 50MP com AI Bateria de 5200 mAh Tela 6.7"" com Superbrilho - Cinza",Por Motorola ,4.7,(594),1.099,719
SAMSUNG,"Smartphone Samsung Galaxy A25 5G 256GB 8GB Ram Dual SIM Android 14 Azul-Escuro 6,5''",Por Vikings ,4.8,(14230),1.998,1.259
SAMSUNG,Samsung Galaxy A35 5G 128GB Azul-escuro 6GB RAM,Por Vikings ,4.8,(1656),2.070,1.376
,Infinix Smart 8 Pro Dual SIM 256GB Preto 4GB RAM,Por 123 Comprou ,4.6,(1182),1.398,809
MOTOROLA,Smartphone Motorola Moto g24 - 128GB 8GB (4GB RAM+4GB Ram Boost) AI Camera 50MP Night Vision - Rosa,Por Motorola ,4.8,(55797),1.099,675
SAMSUNG,Smartphone Samsung Galaxy S24 Fe 5g 256gb 8gb Ram Grafite,Por Samsung ,4.9,(594),5.699,3.160
MOTOROLA,Smartphone Motorola Moto G15 - 128gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai E Night Vision Bateria De 5200 Mah Tela Fhd+ 6.7 Com Superbrilho Nfc Azul Escuro,Por Motorola ,4.6,(1837),1.099,838
MOTOROLA,Smartphone Motorola Moto g34 5G - 128GB 8GB (4GB RAM+4GB Ram Boost) AI Camera 50MP NFC - Preto,Por Motorola ,4.8,(26659),1.399,930
MOTOROLA,Smartphone Motorola Moto g84 5G - 256GB 16GB (8GB RAM+8GB Ram Boost) 50MP Ultra-Pixel AI Camera Tela pOLED NFC - Azul Claro,Por Motorola ,4.8,(13257),2.199,1.325
SAMSUNG,Samsung Galaxy M55 5G Dual SIM 256 GB Azul Escuro 8 GB RAM,Por Samsung ,4.5,(15409),1.899,1.340
MOTOROLA,Smartphone Moto G75 5g 256gb Vegan Leather Cor Cinza Motorola,Por Motorola ,4.8,(919),2.399,1.416
SAMSUNG,Smartphone Samsung Galaxy A35 5G 128GB 6GB RAM Azul Escuro,Por Samsung ,4.8,(17950),3.049,1.259
SAMSUNG,Samsung Galaxy A35 5G Dual SIM 256GB Azul Escuro 8 GB RAM,Por Vikings ,4.8,(17950),2.284,1.495
MOTOROLA,Smartphone Motorola Edge 50 Fusion 5G - 256GB 16GB (8GB RAM+8GB Ram Boost) 50MP Sony AI Camera IP68 NFC - Blue Teal,Por Motorola ,4.8,(3993),2.999,1.658
MOTOROLA,Moto G24 Dual SIM 256 GB rosa 4 GB RAM,Por Mobcom ,4.8,(55797),1.499,791
MOTOROLA,"Smartphone Motorola Moto g35 5G - 256GB 12GB (4GB RAM+8GB Ram Boost) e Camera 50MP com AI NFC Tela 6.7"" com Superbrilho - Cinza",Por Motorola ,4.5,(2772),1.699,1.118
MOTOROLA,Smartphone Motorola Moto G15 - 256gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai E Night Vision Bateria De 5200 Mah Tela Fhd+ 6.7 Com Superbrilho Nfc - Grafite,Por Motorola ,4.6,(1837),1.399,938
SAMSUNG,"Celular Samsung Galaxy A16, 128gb + 4gb Ram, Câmera De Até 50mp, Tela 6.7 , Nfc, Ip54, Bateria 5000 Mah Preto",Por Samsung ,4.7,(1485),1.549,973
MOTOROLA,Smartphone Motorola Edge 50 Neo 5g - 256gb 16gb Ram Boost 50mp Sony Camera Moto Ai Ip68 Nfc - Poinciana Vegan Leather,Por Motorola ,4.7,(1451),3.999,1.925
SAMSUNG,Celular Samsung Galaxy S24 Fe 5g 128gb 8gb Ram Tela 6.7 Galaxy Ai Grafite,Por Samsung ,4.9,(594),4.299,2.708
,Celular Up Play Multilaser Dual Chip Câmera Preto P9076,Por Loja Multi ,4.4,(1978),99,9
MOTOROLA,Smartphone Moto G75 5g 256gb Vegan Leather Cor Azul Motorola,Por Motorola ,4.8,(919),2.399,1.416
,Celular Smartphone Realme C61 NFC Dual Sim 256 Gb 8 Gb Ram Dourado,,4.7,(1074),1.005,100
LG,"Smartphone K61 Tela 6,53'' 128gb 4gb Ram Titânio LG Cor Cinza-escuro - Bom (Recondicionado)",Por Fixcomm ,4.3,(3),702,568
MOTOROLA,Smartphone Motorola Moto g75 5G + Moto Buds - 256GB 16GB (8GB RAM+8GB Ram Boost) e 50MP Sony Lytia 600 Camera Moto AI Ultrarresistencia militar - Preto,Por Motorola ,4.8,(282),2.499,1.851
,Realme C63 Dual SIM 256 GB leather blue 6 GB RAM,Por Emporio do Celular ,4.5,(681),1.095,105
,"Smartphone Xiaomi Redmi Note 14 8+8gb + 256gb, Preto",,4.8,(180),1.230,118
SAMSUNG,"Celular Samsung Galaxy A16 5g, 128gb + 4gb Ram, Câmera De Até 50mp, Tela 6.7 , Nfc, Ip54, Bateria 5000 Mah Verde Claro",Por Samsung ,4.7,(895),1.749,1.079
